ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1197,0,USD,70,NOS,"SALE OF FASTENERS:TAP END STUD,1-1/8 8UNR 2A X 9500 LG BSL 3 XYLAN COATED BLUE 1070,ASTM A320 GR.I43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,129.6,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 7/8 9UNC2B BSL 3 XYLAN BLUE COATED 1070, ASTM A194 GR.7,MS0106CE AP1"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,691.2,0,USD,24,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 2 1/4 8UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTMA194 GR.7,MS0106CE AP"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5385.6,0,USD,352,NOS,"SALE OF FASTENERS:TAP END STUD 1 3/8 8UNR 2A X 6.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,918,0,USD,60,NOS,"SALE OF FASTENERS:TAP END STUD,1-1/8 8UNR 2A X 8250 LG BSL 3 XYLAN COATED BLUE 1070,ASTM A320 GR.I43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,540,0,USD,24,NOS,"SALE OF FASTENERS:TAP END STUD 1 3/8 8UNR 2A X 9.750 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5490,0,USD,100,NOS,"SALE OF FASTENERS:HEAVY HEX NUT 3 8UNR 2B BSL 3 XYLAN BLUE COATED 1070,ASTM A194GR.7,MS0106C AP1 20E"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1684.8,0,USD,24,NOS,"SALE OF FASTENERS:TAP END STUD 2 1/4 8UNR 2A X 14500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,4896,0,USD,40,NOS,"SALE OF FASTENERS:TAP END STUD 3 8UNR 2AX 16.750 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR.L43MS0"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,5171.4,0,USD,26,NOS,"SALE OF FASTENERS:TAP END STUD 3 8UNR 2AX 27.500 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR.L43MS0"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,2808,0,USD,240,NOS,"SALE OF FASTENERS:TAP END STUD 1 1/8 8UNR 2A X 6.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,172.8,0,USD,24,NOS,"SALE OF FASTENERS:TAP END STUD 7/8 9UNC2A X 5.500 LG BSL 3 XYLAN BLUE COATED 1070,ASTM A320 GR.L43MS"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1900.8,0,USD,192,NOS,"SALE OF FASTENERS:TAP END STUD 1 1/8 8UNR 2A X 5.500 LG BSL 3 XYLAN BLUE COATED1070,ASTM A320 GR.L43"
21-04-2023,OCYAN S.A,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1197,0,USD,70,NOS,"SALE OF FASTENERS:TAP END STUD,1-1/8 8UNR 2A X 9500 LG BSL 3 XYLAN COATED BLUE 1070 ASTM A320 GR.I43"
20-04-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Oman,0,0,,19,PKG,"INDUSTRIAL VALVE MANUAL GATE VALVE SPLIT , 01 TO 19"
15-04-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,9240,USD,40,PCS,ROUND BAR 1.5DIA A725 NACE PER API 6ACRA ITEM CODE: 1.5DIA A725 L11.13
12-04-2023,TORISHIMA SERVICES SOLUTIONS,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,16.9,0,USD,1,SET,SALE OF FASTENERS(AST-1-18 8-2A-TE-L7-20F2-XYL-5.75 STUDS TAP END 1-18 8-2A L7 ZOEZ XYLES 1424 ANT 1
05-04-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,2650,USD,50,PCS,"INDUSTRIAL VALVE PARTS - SEAT SEAL ASSEMBLY, OD (EXTERNAL) FOR 3-1/16"" - 10M FLS GATE VALVE - ITEM C"
04-04-2023,PRESSURE CONTROL SYSTEMS LTD.,United Kingdom,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,256,0,USD,1,NOS,INDUSTRIAL VALVE COMPONENTS - 2 1/16 10KVALVE BODY
03-04-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,8400,USD,60,PCS,"ROUND BAR 1.25"" OD 718 API 6ACRA NACE MR0175 LENGTH 10.63"" ITEM CODE: 1.250D718API"
30-03-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,115391,0,USD,80,NOS,INDUSTRIAL VALVE ASSEMBLY MANUAL GATE VALVE 2 9 16 10K PU EE NL BODY /BNT 4130-NQT-75 K UT/MPI PSL3
29-03-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Spain,0,0,,2,PKG,"VALVE COMPONENTS FLANGE RTJ , 01 TO 02"
29-03-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Chile,0,0,,12,PKG,"INDUSTRIAL VALVE MANUAL GATE VALVE SPLIT , 01 TO 12"
